Date,Open,High,Low,Close,Volume
12/21/2016 16:00:00,2270.54,2271.23,2265.15,2265.18,511345709
12/22/2016 16:00:00,2262.93,2263.18,2256.08,2260.96,639919664
12/23/2016 16:00:00,2260.25,2263.79,2258.84,2263.79,8325217
12/27/2016 16:00:00,2266.23,2273.82,2266.15,2268.88,17232932
12/28/2016 16:00:00,2270.23,2271.31,2249.11,2249.92,269786637
12/29/2016 16:00:00,2249.5,2254.51,2244.56,2249.26,191088490
12/30/2016 16:00:00,2251.61,2253.58,2233.62,2238.83,506853466
1/3/2017 16:00:00,2251.57,2263.88,2245.13,2257.83,2318947704
1/4/2017 16:00:00,2261.6,2272.82,2261.6,2270.75,1023618459
1/5/2017 16:00:00,2268.18,2271.5,2260.45,2269,2187189991
1/6/2017 16:00:00,2271.14,2282.1,2264.06,2276.98,883439317
1/9/2017 16:00:00,2273.59,2275.49,2268.9,2268.9,840910697
1/10/2017 16:00:00,2269.72,2279.27,2265.27,2268.9,1064282732
1/11/2017 16:00:00,2268.6,2275.32,2260.83,2275.32,1044548052
1/12/2017 16:00:00,2271.14,2271.78,2254.25,2270.44,863643316
1/13/2017 16:00:00,2272.74,2278.68,2271.51,2274.64,707256094
1/17/2017 16:00:00,2269.14,2272.08,2262.81,2267.89,2147375749
1/18/2017 16:00:00,2269.14,2272.01,2263.35,2271.89,924902096
1/19/2017 16:00:00,2271.9,2274.33,2258.41,2263.69,967540951
1/20/2017 16:00:00,2269.96,2276.96,2265.01,2271.31,2311814000
1/23/2017 16:00:00,2267.78,2271.78,2257.02,2265.2,916810570
1/24/2017 16:00:00,2267.88,2284.63,2266.68,2280.07,2147415305
1/25/2017 16:00:00,2288.88,2299.55,2288.88,2298.37,2461512000
1/26/2017 16:00:00,2298.63,2300.99,2294.08,2296.68,2333681818
1/27/2017 16:00:00,2299.02,2299.02,2291.62,2294.69,925519279
1/30/2017 16:00:00,2286.01,2286.01,2268.04,2280.9,1034342001
1/31/2017 16:00:00,2274.02,2279.09,2267.21,2278.87,2555320206
2/1/2017 16:00:00,2285.59,2289.14,2272.44,2279.55,2478979663
2/2/2017 16:00:00,2276.69,2283.97,2271.65,2280.85,2321960100
2/3/2017 16:00:00,2288.54,2298.31,2287.88,2297.42,2208634271
2/6/2017 16:00:00,2294.28,2296.18,2288.57,2292.56,828798658
2/7/2017 16:00:00,2295.87,2299.4,2290.16,2293.08,1005424404
2/8/2017 16:00:00,2289.55,2295.91,2285.38,2294.67,1039738102
2/9/2017 16:00:00,2296.7,2311.08,2296.61,2307.87,1044822284
2/10/2017 16:00:00,2312.27,2319.23,2311.1,2316.1,993382797
2/13/2017 16:00:00,2321.72,2331.58,2321.42,2328.25,884994768
2/14/2017 16:00:00,2326.12,2337.58,2322.17,2337.58,2163161000
2/15/2017 16:00:00,2335.58,2351.3,2334.81,2349.25,2251620057
2/16/2017 16:00:00,2349.64,2351.31,2338.87,2347.22,1012302953
2/17/2017 16:00:00,2343.01,2351.16,2339.58,2351.16,1045689889
2/21/2017 16:00:00,2354.91,2366.71,2354.91,2365.38,1034890289
2/22/2017 16:00:00,2361.11,2365.13,2358.34,2362.82,880108485
2/23/2017 16:00:00,2367.5,2368.26,2355.09,2363.81,2200797996
2/24/2017 16:00:00,2355.73,2367.34,2352.87,2367.34,2190395580
2/27/2017 16:00:00,2365.23,2371.54,2361.87,2369.75,807561788
2/28/2017 16:00:00,2366.08,2367.79,2358.96,2363.64,2538169000
3/1/2017 16:00:00,2380.13,2400.98,2380.13,2395.96,2575918105
3/2/2017 16:00:00,2394.75,2394.75,2380.17,2381.92,1046806171
3/3/2017 16:00:00,2380.92,2383.89,2375.39,2383.12,759171544
3/6/2017 16:00:00,2375.23,2378.8,2367.98,2375.31,815247188
3/7/2017 16:00:00,2370.74,2375.12,2365.51,2368.39,839221691
3/8/2017 16:00:00,2369.81,2373.09,2361.01,2362.98,1011764443
3/9/2017 16:00:00,2363.49,2369.08,2354.54,2364.87,945423548
3/10/2017 16:00:00,2372.52,2376.86,2363.04,2372.6,944187975
3/13/2017 16:00:00,2371.56,2374.42,2368.52,2373.47,748522349
3/14/2017 16:00:00,2368.55,2368.55,2358.18,2365.45,611348401
3/15/2017 16:00:00,2370.34,2390.01,2368.94,2385.26,1051135929
3/16/2017 16:00:00,2387.71,2388.1,2377.18,2381.38,804297342
3/17/2017 16:00:00,2383.71,2385.71,2377.64,2378.25,3398204726
3/20/2017 16:00:00,2378.24,2379.55,2369.66,2373.47,748721673
3/21/2017 16:00:00,2379.32,2381.93,2341.9,2344.02,2637087666
3/22/2017 16:00:00,2343,2351.81,2336.45,2348.45,1064812901
3/23/2017 16:00:00,2345.97,2358.92,2342.13,2345.96,844974813
3/24/2017 16:00:00,2350.42,2356.22,2335.74,2343.98,846511854
3/27/2017 16:00:00,2329.11,2344.9,2322.25,2341.59,858018011
3/28/2017 16:00:00,2339.79,2363.78,2337.63,2358.57,877571724
3/29/2017 16:00:00,2356.54,2363.36,2352.94,2361.13,660401033
3/30/2017 16:00:00,2361.31,2370.42,2358.58,2368.06,775154439
3/31/2017 16:00:00,2364.82,2370.35,2362.6,2362.72,923302112
4/3/2017 16:00:00,2362.34,2365.87,2344.73,2358.84,2182258164
4/4/2017 16:00:00,2354.76,2360.53,2350.72,2360.16,746663640
4/5/2017 16:00:00,2366.59,2378.36,2350.52,2352.95,1031056095
